CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
225201,03RD,ST,,CARROLL AVE,EGBERT AVE,25,,,,,,,,"LINESTRING (-122.3942302872864 37.72547070803537, -122.39433838627808 37.72540315604878, -122.39493760433994 37.72409074820081, -122.39491294635783 37.72396762220917)"
222101,03RD,ST,,YOSEMITE AVE,ARMSTRONG AVE,25,,,,,,,,"LINESTRING (-122.39321958117694 37.72772852577528, -122.39320826119494 37.727587094786166, -122.393448947221 37.7270494388481, -122.39355695021352 37.72697489186212)"
157000,03RD,AVE,,BALBOA ST,CABRILLO ST,0,,,,,,,,"LINESTRING (-122.46078311934015 37.77737538461413, -122.46064754157646 37.77551200275731)"
207201,03RD,ST,,NEWHALL ST,KIRKWOOD AVE,25,,,,,,,,"LINESTRING (-122.3892968494922 37.73873698658062, -122.38939746348582 37.73866235159413, -122.38960370252249 37.73807742565741, -122.38957417354163 37.737950452665764)"
220201,03RD,ST,,WILLIAMS AVE,LANE ST,25,,,,,,,,"LINESTRING (-122.39261133008958 37.72927351160342, -122.39272339208637 37.72915590362131, -122.39292008112088 37.728602263681324, -122.39288621413951 37.728484638688606)"
220102,03RD,ST,,LANE ST,LANE ST,30,,,,,,,,"LINESTRING (-122.39269023512601 37.72885518064371, -122.39279261714479 37.728560199675506, -122.39288621413951 37.728484638688606)"
158000,03RD,AVE,,CABRILLO ST,FULTON ST,0,,,,,,,,"LINESTRING (-122.46064754157646 37.77551200275731, -122.46053944076482 37.774026192871474)"
208101,03RD,ST,,KIRKWOOD AVE,LA SALLE AVE,25,,,,,,,,"LINESTRING (-122.38957417354163 37.737950452665764, -122.38954795155857 37.737837695673164, -122.38976187659671 37.737230892738864, -122.38985125559094 37.73716458875081)"
210201,03RD,ST,,MCKINNON AVE,NEWCOMB AVE,25,,,,,,,,"LINESTRING (-122.39013184463904 37.736385251835635, -122.39023063363625 37.73628110685139, -122.39042299467103 37.73573131791081, -122.39040305769088 37.735585577921405)"
176000,03RD,ST,,TABER PL,SOUTH PARK,25,,,,,,,,"LINESTRING (-122.39550454066534 37.781057195542814, -122.39505173977497 37.78069561353954)"
230202,03RD,ST,,SALINAS AVE,JAMESTOWN AVE,25,,,,,,,,"LINESTRING (-122.396450126501 37.72073509558802, -122.3966223575187 37.72035884163161, -122.39660382053674 37.720225971641284)"
198101,03RD,ST,,CARGO WAY,BURKE AVE,30,,,,,,,,"LINESTRING (-122.38716101095463 37.746152183812804, -122.3870775419916 37.7459402288242, -122.38702527708391 37.7452097218807, -122.38711531508713 37.745065496899166)"
202201,03RD,ST,,EVANS AVE,FAIRFAX AVE,25,,,,,,,,"LINESTRING (-122.38791314524141 37.742698211152764, -122.38799712723556 37.74264013116366, -122.38822206727917 37.74197179323526, -122.3881871372945 37.7418841192399)"
161000,03RD,AVE,,HUGO ST,IRVING ST,0,,,,,,,,"LINESTRING (-122.4599397758711 37.76525184054879, -122.45987433498951 37.76431389162112)"
229101,03RD,ST,,HOLLISTER AVE,INGERSON AVE,25,,,,,,,,"LINESTRING (-122.39593062146609 37.72171093946965, -122.39592719048146 37.72158238047999, -122.3961709465079 37.72103714254274, -122.3962596365016 37.72097658955423)"
188101,03RD,ST,,18TH ST,19TH ST,30,,,,,,,,"LINESTRING (-122.38873536276496 37.76304316353385, -122.38865341178798 37.76295055453548, -122.38862711191892 37.761853335624096, -122.38868138092144 37.76176132963566)"
179000,03RD,ST,,BRANNAN ST,TOWNSEND ST,25,,,,,,,,"LINESTRING (-122.39428682496023 37.780084783534, -122.39273657533562 37.77884677052284)"
191101,03RD,ST,,22ND ST,23RD ST,30,,,,,,,,"LINESTRING (-122.38830232242103 37.75793476092369, -122.38822573144267 37.75784693492532, -122.38804616461285 37.75660819701444, -122.38794525475812 37.755483423099875, -122.38798791276311 37.75538494011113)"
230201,03RD,ST,,INGERSON AVE,SALINAS AVE,25,,,,,,,,"LINESTRING (-122.3962596365016 37.72097658955423, -122.39637103249275 37.72090888056791, -122.396450126501 37.72073509558802)"
162000,03RD,AVE,,IRVING ST,PARNASSUS AVE,0,,,,,,,,"LINESTRING (-122.45987433498951 37.76431389162112, -122.45977715516531 37.76292099772853)"
221201,03RD,ST,,LANE ST,YOSEMITE AVE,25,,,,,,,,"LINESTRING (-122.39288621413951 37.728484638688606, -122.39297153213083 37.72844933769772, -122.39323089915894 37.72786995776447, -122.39321958117694 37.72772852577528)"
8407000,LISBON,ST,,EXCELSIOR AVE,BRAZIL AVE,15,true,,,,,,,"LINESTRING (-122.43124018879837 37.72510163676095, -122.43241884980203 37.723544785975136)"
8407000,LISBON,ST,LISBON,,,15,true,,,,,,,"LINESTRING (-122.43124018879837 37.72510163676095, -122.43241884980203 37.723544785975136)"
8412000,LISBON,ST,,ITALY AVE,AMAZON AVE,0,,,,,,,,"LINESTRING (-122.43711959681711 37.717331197829544, -122.43788734381978 37.71631466396927)"
8406000,LISBON,ST,LISBON,,,15,true,,,,,,,"LINESTRING (-122.43015648879434 37.72653883856359, -122.43124018879837 37.72510163676095)"
8411000,LISBON,ST,,FRANCE AVE,ITALY AVE,0,,,,,,,,"LINESTRING (-122.43594564381316 37.71888530861602, -122.43711959681711 37.717331197829544)"
8406000,LISBON,ST,,AVALON AVE,EXCELSIOR AVE,15,true,,,,,,,"LINESTRING (-122.43015648879434 37.72653883856359, -122.43124018879837 37.72510163676095)"
8410000,LISBON,ST,,RUSSIA AVE,FRANCE AVE,0,,,,,,,,"LINESTRING (-122.43477174680902 37.72043997240242, -122.43594564381316 37.71888530861602)"
8408000,LISBON,ST,,BRAZIL AVE,PERSIA AVE,0,,,,,,,,"LINESTRING (-122.43241884980203 37.723544785975136, -122.43359312680553 37.72199528218835)"
