CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
7880000,KIRKHAM,ST,,40TH AVE,41ST AVE,0,,,,,,,,"LINESTRING (-122.49935210173683 37.75883582595268, -122.50042280158266 37.75878903003463)"
7878000,KIRKHAM,ST,,38TH AVE,39TH AVE,0,,,,,,,,"LINESTRING (-122.49720868504542 37.75892947478849, -122.49827996189116 37.75888267487058)"
7879000,KIRKHAM,ST,,39TH AVE,40TH AVE,0,,,,,,,,"LINESTRING (-122.49827996189116 37.75888267487058, -122.49935210173683 37.75883582595268)"
7877000,KIRKHAM,ST,,37TH AVE,38TH AVE,0,,,,,,,,"LINESTRING (-122.4961392581994 37.75897618470665, -122.49720868504542 37.75892947478849)"
7876000,KIRKHAM,ST,,SUNSET BLVD,37TH AVE,0,,,,,,,,"LINESTRING (-122.49560399827645 37.75899955966562, -122.4961392581994 37.75897618470665)"
7874000,KIRKHAM,ST,,PINO ALY,36TH AVE,0,,,,,,,,"LINESTRING (-122.49453126943087 37.75904696058346, -122.49506916135341 37.759023194624696)"
7873000,KIRKHAM,ST,,35TH AVE,PINO ALY,0,,,,,,,,"LINESTRING (-122.49399676250779 37.75907057454249, -122.49453126943087 37.75904696058346)"
7872000,KIRKHAM,ST,,34TH AVE,35TH AVE,0,,,,,,,,"LINESTRING (-122.4929236466622 37.75911797746027, -122.49399676250779 37.75907057454249)"
7870000,KIRKHAM,ST,,32ND AVE,33RD AVE,0,,,,,,,,"LINESTRING (-122.49078118497063 37.75921258829612, -122.49185373081622 37.75916522937831)"
7845000,KIRKHAM,ST,,07TH AVE,08TH AVE,25,,,,,,,,"LINESTRING (-122.46389867184222 37.7604004042365, -122.46496783468811 37.7603535213184)"
7881000,KIRKHAM,ST,KIRKHAM,,,15,true,,,,,,,"LINESTRING (-122.50042280158266 37.75878903003463, -122.5014921744287 37.758742284116565)"
7869000,KIRKHAM,ST,,31ST AVE,32ND AVE,0,,,,,,,,"LINESTRING (-122.48970892612499 37.75925992321401, -122.49078118497063 37.75921258829612)"
7868000,KIRKHAM,ST,,30TH AVE,31ST AVE,0,,,,,,,,"LINESTRING (-122.4886348062796 37.75930733113172, -122.48970892612499 37.75925992321401)"
7854000,KIRKHAM,ST,,16TH AVE,17TH AVE,25,,,,,,,,"LINESTRING (-122.47363910543898 37.75997035998279, -122.47471109628465 37.75992243806492)"
7848000,KIRKHAM,ST,,10TH AVE,11TH AVE,25,,,,,,,,"LINESTRING (-122.46710846937962 37.76025962148235, -122.46817756422554 37.760212710564254)"
7867000,KIRKHAM,ST,,29TH AVE,30TH AVE,0,,,,,,,,"LINESTRING (-122.4875662774335 37.75935448204985, -122.4886348062796 37.75930733113172)"
7865000,KIRKHAM,ST,,27TH AVE,28TH AVE,0,,,,,,,,"LINESTRING (-122.4854241307419 37.759448980885736, -122.48649841658722 37.75940159496803)"
7884000,KIRKHAM,ST,,44TH AVE,45TH AVE,0,,,,,,,,"LINESTRING (-122.5036392551197 37.75864839628093, -122.50471222596522 37.758601463363135)"
7885000,KIRKHAM,ST,,45TH AVE,46TH AVE,0,,,,,,,,"LINESTRING (-122.50471222596522 37.758601463363135, -122.50578362081104 37.75855458844518)"
7864000,KIRKHAM,ST,,26TH AVE,27TH AVE,0,,,,,,,,"LINESTRING (-122.48435194789626 37.75949626380362, -122.4854241307419 37.759448980885736)"
7863000,KIRKHAM,ST,,25TH AVE,26TH AVE,0,,,,,,,,"LINESTRING (-122.48327891005081 37.75954357572141, -122.48435194789626 37.75949626380362)"
7862000,KIRKHAM,ST,,24TH AVE,25TH AVE,0,,,,,,,,"LINESTRING (-122.48220794020503 37.759590784639364, -122.48327891005081 37.75954357572141)"
7860000,KIRKHAM,ST,,22ND AVE,23RD AVE,0,,,,,,,,"LINESTRING (-122.48006244651395 37.759685332474994, -122.48113430135962 37.7596381035571)"
7859000,KIRKHAM,ST,,21ST AVE,22ND AVE,0,,,,,,,,"LINESTRING (-122.47899214766811 37.759732484392984, -122.48006244651395 37.759685332474994)"
7851000,KIRKHAM,ST,,FUNSTON AVE,14TH AVE,25,,,,,,,,"LINESTRING (-122.47032143191664 37.76011861172843, -122.47139535076198 37.76007063381074)"
7886000,KIRKHAM,ST,,46TH AVE,47TH AVE,0,,,,,,,,"LINESTRING (-122.50578362081104 37.75855458844518, -122.5068547256569 37.758507717527216)"
7887000,KIRKHAM,ST,,47TH AVE,48TH AVE,0,,,,,,,,"LINESTRING (-122.5068547256569 37.758507717527216, -122.50792308650314 37.758460955609024)"
7855000,KIRKHAM,ST,,17TH AVE,18TH AVE,25,,,,,,,,"LINESTRING (-122.47471109628465 37.75992243806492, -122.47578334113025 37.75987449514715)"
7881000,KIRKHAM,ST,,41ST AVE,42ND AVE,15,true,,,,,,,"LINESTRING (-122.50042280158266 37.75878903003463, -122.5014921744287 37.758742284116565)"
7899000,KIRKWOOD,AVE,,MILTON I ROSS ST,LETTUCE LN,0,,,,,,,,"LINESTRING (-122.39886427054336 37.743220401907834, -122.39904592951319 37.743246122919)"
7897000,KIRKWOOD,AVE,,RANKIN ST,SELBY ST,0,,,,,,,,"LINESTRING (-122.39556114325443 37.741341303822175, -122.3974026408583 37.7423865268701)"
7892000,KIRKWOOD,AVE,,START: 1400-1499 BLOCK,MENDELL ST,0,,,,,,,,"LINESTRING (-122.38761663697717 37.73671465062518, -122.38764499195307 37.73688663761304, -122.3877599539268 37.73696480561495, -122.38807761886352 37.73710143462682)"
19414000,KIRKWOOD,AVE,,START: 1-69 BLOCK,FRIEDELL ST,0,,,,,,,,"LINESTRING (-122.36996457075864 37.72683744815547, -122.37068450460409 37.72724286817437)"
7889000,KIRKWOOD,AVE,,DONAHUE ST,LA SALLE AVE,0,,,,,,,,"LINESTRING (-122.37125975148167 37.72755778519026, -122.37162710640418 37.72775266120092, -122.37198777235152 37.727741580228084, -122.37222056431237 37.72777901324192)"
7891000,KIRKWOOD,AVE,,EARL ST,DORMITORY RD,0,,,,,,,,"LINESTRING (-122.37314471207539 37.72863359323859, -122.37491487769267 37.729654749283085)"
7898000,KIRKWOOD,AVE,,SELBY ST,MILTON I ROSS ST,0,,,,,,,,"LINESTRING (-122.3974026408583 37.7423865268701, -122.39886427054336 37.743220401907834)"
7895000,KIRKWOOD,AVE,,NEWHALL ST,PHELPS ST,0,,,,,,,,"LINESTRING (-122.38994568246173 37.73816120967542, -122.39181746305904 37.73922303372413)"
7900000,KIRKWOOD,AVE,,LETTUCE LN,TOLAND ST,0,,,,,,,,"LINESTRING (-122.39904592951319 37.743246122919, -122.39933573045089 37.74341063792654)"
7894000,KIRKWOOD,AVE,,03RD ST,NEWHALL ST,0,,,,,,,,"LINESTRING (-122.38957417354163 37.737950452665764, -122.38994568246173 37.73816120967542)"
7893000,KIRKWOOD,AVE,,MENDELL ST,03RD ST,0,,,,,,,,"LINESTRING (-122.38807761886352 37.73710143462682, -122.38957417354163 37.737950452665764)"
7896000,KIRKWOOD,AVE,,START: 1800-1899 BLOCK,RANKIN ST,0,,,,,,,,"LINESTRING (-122.39475985742695 37.74088530680141, -122.39556114325443 37.741341303822175)"
7890000,KIRKWOOD,AVE,,LA SALLE AVE,EARL ST,0,,,,,,,,"LINESTRING (-122.37222056431237 37.72777901324192, -122.37216262230012 37.72796006122273, -122.37221192327696 37.72809651521508, -122.3724949722148 37.728268464221465, -122.37279448713863 37.72853996022082, -122.37314471207539 37.72863359323859)"
19415000,KIRKWOOD,AVE,,FRIEDELL ST,DONAHUE ST,0,,,,,,,,"LINESTRING (-122.37068450460409 37.72724286817437, -122.37113928050647 37.72749896418637, -122.37125975148167 37.72755778519026)"
7901000,KISKA,RD,,DORMITORY RD,INGALLS ST,0,,,,,,,,"LINESTRING (-122.37718940931123 37.7300108844193, -122.37747977126756 37.73001271844035, -122.37789246619646 37.73009392746367, -122.37829758311956 37.73023457948156, -122.3786109210524 37.73041040548985, -122.37883871099736 37.73059205149141, -122.37933994187364 37.73101434149305, -122.37953868783347 37.73110447150007)"
7902000,KISSLING,ST,,START: 1-99 BLOCK,11TH ST,0,,,,,,,,"LINESTRING (-122.41439308276199 37.773115437576486, -122.41498843872755 37.77264452965873)"
7903000,KISSLING,ST,,11TH ST,12TH ST,0,,,,,,,,"LINESTRING (-122.41498843872755 37.77264452965873, -122.41505976472928 37.77253759767274, -122.41562058970305 37.77204044575464, -122.41617070869421 37.77140760884692)"
7904000,KITTREDGE,TER,,TURK BLVD,GOLDEN GATE AVE,0,,,,,,,,"LINESTRING (-122.4506415927629 37.7781596568088, -122.4504449749035 37.77719967387337)"
19786000,KNOCKASH,HL,,START: 0-0 BLOCK,END: 0-0 BLOCK,0,,,,,,,,"LINESTRING (-122.4569159890019 37.74209691323235, -122.4570150979737 37.74221312622998, -122.4573371849237 37.74222965225213, -122.45775926286368 37.74220441028498, -122.45808680780914 37.74225365730481, -122.45901196472468 37.741789823410386)"
7906000,KNOLLVIEW,WAY,,OLYMPIA WAY,PANORAMA DR,0,,,,,,,,"LINESTRING (-122.45105388981881 37.75124445605223, -122.45104728778769 37.75152191202892, -122.45095359674747 37.75199082098351, -122.45095924072174 37.75220571296627, -122.45103331468272 37.752447512951754, -122.45110082866059 37.75255155094813)"
