OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
10889,Castro St&Elizabeth St E-MI/SB,CTROELI1,CTROELIZ,4332,37.751886,-122.434053,0,ELIZABETH ST,CASTRO ST,MI,E,,0,04/20/2020 11:54:43 AM +0000,2204388,121,,"(37.75188105875884, -122.43403978528545)",84,3,5,22
9047,Jackson St&Scott St NE-NS/PS,JACKSCO0,JACKSCOT,5160,37.791932,-122.43924,0,SCOTT ST,JACKSON ST,NS,NE,,0,04/20/2020 11:54:43 AM +0000,2205182,121,,"(37.79192705584301, -122.43922677986993)",102,4,6,30
10756,Cortland Ave&Folsom St NW-FS/BZ,CORTFOL1,CORTFOLS,4153,37.739,-122.41366,0,FOLSOM ST,CORTLAND AVE,FS,NW,BZ,0,04/20/2020 11:54:43 AM +0000,2208550,121,,"(37.738995058333785, -122.41364678982201)",83,9,2,2
9216,Hudson Ave&Whitney Young Cir SE-NS,HUDSWTY1,HUDSWTYG,5050,37.733319,-122.381845,0,WHITNEY YOUNG CIR,HUDSON AVE,FS,SW,FL,0,04/20/2020 11:54:43 AM +0000,2206648,121,,"(37.733314056484545, -122.38183179523524)",86,2,9,1
9341,Fillmore St&Sacramento St NW-NS/BZ,FILLSAC0,FILLSACO,4637,37.789925,-122.4341,0,SACRAMENTO ST,FILLMORE ST,NS,NW,BZ,1,04/20/2020 11:54:43 AM +0000,2204610,121,,"(37.789920055632315, -122.43408678087059)",102,4,6,30
7929,18th St&Texas St NE-NS/BZ,18STTEX1,18STTEXS,3346,37.762701,-122.395422,0,TEXAS ST,18TH ST,NS,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2203024,121,,"(37.76269605504941, -122.39540878980705)",54,2,9,26
9147,Middle Point & Acacia NW-NS,MDPTACAC,,7719,37.737074,-122.379516,,WEST POINT RD,MIDDLE POINT RD,,,,,04/20/2020 11:54:43 AM +0000,2210473,121,,"(37.73706905600472, -122.37950279514997)",86,2,9,1
9265,Silver Ave&Merrill St S-NS/PS,SILVMER0,SILVMERL,6412,37.731332,-122.408994,0,MERRILL ST,SILVER AVE,NS,S,,0,04/20/2020 11:54:43 AM +0000,2206809,121,,"(37.73132705862627, -122.40898079140518)",91,2,2,25
10963,Silver Ave&Gambier St NE-NS/PS,SILVGAM1,SILVGAMB,6406,37.7289,-122.422569,0,GAMBIER ST,SILVER AVE,NS,NE,,0,04/20/2020 11:54:43 AM +0000,2207278,121,,"(37.7288950598157, -122.42255578965761)",94,9,1,7
11192,Mission St&24th St NE-FS/BB,MISS24S1,MISS24ST,5565,37.752356,-122.418401,0,24TH ST,MISSION ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2209652,121,,"(37.75235105757853, -122.4183877875693)",53,3,2,20
10958,Castro St&20TH St NW-NS/PS,CTRO20S0,CTRO20ST,4318,37.75778,-122.43477,0,20TH ST,CASTRO ST,NS,NW,,0,04/20/2020 11:54:43 AM +0000,2204235,121,,"(37.75777505832591, -122.43475678449633)",115,3,5,5
9636,Silver Ave&Princeton St N-NS/PS,SILVPRT1,SILVPRTN,6417,37.729014,-122.416109,0,PRINCETON ST,SILVER AVE,NS,N,,0,04/20/2020 11:54:43 AM +0000,2208517,121,,"(37.72900905933578, -122.41609579060959)",92,2,2,25
